COUNTY,AVG_COVID_COUNT,AVG_COVID_PERCENT,COVID_SPREAD_PCT,COVID_AVG_PCT_RANK,COVID_SPREAD_RANK,COVID_LIV_SCORE
Anderson,202.91666666666666,25.722118031288332,-47.622027534418024,0.6968503937007874,0.027559055118110236,3.5
Andrews,74.5,9.443767359331321,93.11475409836065,0.46062992125984253,0.984251968503937,2.0
Angelina,267.0,33.84544812001964,-37.854251012145745,0.7440944881889764,0.09448818897637795,3.0
Aransas,147.75,18.729082246190643,21.76360225140712,0.6062992125984252,0.7834645669291339,1.5
Archer,70.08333333333333,8.883901956596914,48.4490398818316,0.4448818897637795,0.8976377952755905,2.0
Armstrong,10.875,1.3785365105064178,61.00000000000001,0.12598425196850394,0.9291338582677166,2.5
Atascosa,400.875,50.81570792177106,18.758526603001368,0.8031496062992126,0.7440944881889764,1.0
Austin,182.95833333333334,23.1921602208187,4.613233923578752,0.6653543307086615,0.6220472440944882,2.0
Bailey,18.041666666666668,2.2869973526792298,0.4629629629629539,0.19291338582677164,0.5275590551181102,3.0
Bandera,99.54166666666667,12.618098557853763,-12.627450980392151,0.5354330708661418,0.36220472440944884,2.5
Bastrop,611.4583333333334,77.50966778422101,13.42350203606748,0.8582677165354331,0.6968503937007874,1.5
Baylor,11.291666666666666,1.4313540013304185,46.36363636363636,0.13385826771653545,0.8858267716535433,2.5
Bee,187.16666666666666,23.725616878141103,-25.62111801242236,0.6732283464566929,0.1889763779527559,3.0
Bell,2220.9166666666665,281.52778959008845,0.6248118036735972,0.9291338582677166,0.5393700787401575,1.5
Bexar,18860.958333333332,2390.852384886462,47.687080041147766,0.9960629921259843,0.8937007874015748,1.0
Blanco,64.29166666666667,8.149738834143305,20.114122681883018,0.4251968503937008,0.7559055118110236,2.0
Borden,2.4166666666666665,0.30634144677920394,141.17647058823528,0.025590551181102362,0.9881889763779528,3.0
Bosque,87.04166666666667,11.033573833133744,14.036885245901631,0.5039370078740157,0.7047244094488189,1.5
Bowie,375.0,47.53574174160061,5.011389521640086,0.7952755905511811,0.6338582677165354,1.5
Brazoria,3176.5,402.65942304585155,9.600791817881893,0.9488188976377953,0.6732283464566929,1.5
Brazos,2253.9583333333335,285.7162166124317,4.610787502836833,0.9330708661417323,0.6181102362204725,1.5
Brewster,21.416666666666668,2.714819028353635,51.96078431372548,0.22440944881889763,0.905511811023622,2.5
Briscoe,13.958333333333334,1.769385942604023,72.35772357723577,0.16141732283464566,0.9606299212598425,2.5
Brooks,33.166666666666664,4.204272269590454,20.49861495844876,0.30708661417322836,0.7677165354330708,2.0
Brown,216.58333333333334,27.45453173031556,9.259259259259256,0.7165354330708661,0.6653543307086615,1.5
Burleson,127.83333333333333,16.204406184803407,4.6697798532354895,0.5748031496062992,0.6259842519685039,2.0
Burnet,334.9583333333333,42.459980873414146,-9.185853311179681,0.7795275590551181,0.4015748031496063,2.0
Caldwell,477.0833333333333,60.47602699348078,45.81365392872478,0.8188976377952756,0.8740157480314961,1.0
Calhoun,133.70833333333334,16.949132805421822,-1.1771995043370453,0.594488188976378,0.4921259842519685,2.5
Callahan,51.0,6.464860876857684,15.492957746478876,0.37401574803149606,0.7204724409448819,2.0
Cameron,2512.0416666666665,318.43137042881773,52.39251475698079,0.9409448818897638,0.9094488188976378,1.0
Camp,56.75,7.193742250228893,-18.641810918774972,0.4015748031496063,0.2637795275590551,3.5
Carson,24.25,3.0739779659568396,18.796992481203013,0.25196850393700787,0.7480314960629921,2.5
Cass,181.41666666666666,22.996735504769894,14.906219151036515,0.6614173228346457,0.7086614173228346,1.5
Castro,56.666666666666664,7.183178752064093,75.30364372469636,0.39763779527559057,0.9645669291338582,2.0
Chambers,349.0833333333333,44.25049381234777,-18.027801911381403,0.7874015748031497,0.2795275590551181,2.5
