,COUNTY,AVG_COVID_COUNT,AVG_COVID_PERCENT,COVID_SPREAD_PCT,COVID_AVG_PCT_RANK,COVID_SPREAD_RANK,COVID_LIV_SCORE,2017 % Housing Change,2018 % Housing Change,2019 % Housing Change,2020 % Housing Change,2021 % Housing Change,2022 % Housing Change,HOUSING_PCT_CHNG,Current Housing Value,Housing Score,AVG_OFFENCE_COUNT,Offense Count,OFFENSE_PCT,SAFETY_ISSUE_RANK,SAFETY_LINDEX,LIVABILITY_GRADE
0,Anderson,202.91666666666663,25.72211803128833,-47.62202753441802,0.6968503937007874,0.0275590551181102,3.5,0.0153205153323529,0.0266348169492849,0.072334042548144,0.1011932809649831,0.1758903913379677,0.1126996296244485,0.6218552962768005,175981.44198949204,3.0,43.0,128.0,0.2020776104322566,0.7362204724409449,1,2.5
1,Andrews,74.5,9.44376735933132,93.11475409836063,0.4606299212598425,0.984251968503937,2.0,-0.0018023589136667,0.0536301120000164,0.1232432906277424,0.0617474575125269,0.066291860730861,-0.0244408427629672,0.3210508177476869,198874.46706246943,1.0,16.0,48.0,0.0757791039120962,0.5078740157480315,2,1.67
2,Angelina,267.0,33.84544812001964,-37.85425101214575,0.7440944881889764,0.0944881889763779,3.0,0.0126158585789037,0.0217430315146167,0.1352868176810293,0.085698202483912,0.1582198084652889,0.0006452021311491,0.5050889456469224,161055.55123288717,2.0,114.0,341.0,0.5383473840421837,0.8503937007874016,1,2.0
3,Aransas,147.75,18.729082246190643,21.76360225140712,0.6062992125984252,0.7834645669291339,1.5,0.0324589595889425,0.034494603608704,0.0652378537603658,0.1096717817972702,0.1781237698198053,0.09145385115942,0.6089196099407759,286760.47938561725,3.0,18.0,53.0,0.0836727605696062,0.5275590551181102,2,2.17
4,Archer,70.08333333333333,8.883901956596914,48.4490398818316,0.4448818897637795,0.8976377952755905,2.0,-0.001725740105616,0.0945487521835778,0.0484714822082274,0.1140112128919354,0.1126654737417249,0.0827784498338642,0.5696197883944023,144530.0510529762,3.0,4.0,10.0,0.01578731331502,0.2303149606299212,4,3.0
5,Armstrong,10.875,1.3785365105064178,61.00000000000001,0.1259842519685039,0.9291338582677166,2.5,0.015648919336034,0.0450735127102246,0.0627668383347042,0.0402490531384099,0.2224126563986127,-0.0197673500987184,0.4973151957288699,159438.8270770352,2.0,1.0,1.0,0.001578731331502,0.0413385826771653,5,3.17
6,Atascosa,400.875,50.81570792177106,18.758526603001368,0.8031496062992126,0.7440944881889764,1.0,0.0690573764509491,0.0213051432217351,0.0809081193415909,0.1012042570401765,0.1578119215980838,0.0266610459474542,0.5846673647486071,240943.0092801161,3.0,53.0,158.0,0.2494395503773168,0.7598425196850394,1,1.67
7,Austin,182.95833333333331,23.1921602208187,4.613233923578752,0.6653543307086615,0.6220472440944882,2.0,0.030236609400871,0.0515572191758388,0.0400935022832667,0.0879918630821976,0.2056424095085176,0.056735749488968,0.587917013635793,359672.8935819301,3.0,17.0,50.0,0.0789365665751002,0.5118110236220472,2,2.33
8,Bailey,18.041666666666668,2.2869973526792298,0.4629629629629539,0.1929133858267716,0.5275590551181102,3.0,0.0008150259974407,0.038239581596059,0.0393337954182826,0.1099429649137743,0.1420169084225653,0.0019567702138999,0.4415664393465433,92408.11669229368,2.0,7.0,21.0,0.0331533579615421,0.3169291338582677,3,2.67
9,Bandera,99.54166666666669,12.618098557853765,-12.627450980392153,0.5354330708661418,0.3622047244094488,2.5,0.0229281227873417,0.1557396849123055,0.019730124514718,0.1253978327218393,0.2186587266288711,0.1143957178963713,0.8771632342962791,374074.6235741446,5.0,17.0,51.0,0.0805152979066022,0.5177165354330708,2,3.17
10,Bastrop,611.4583333333334,77.50966778422101,13.42350203606748,0.8582677165354331,0.6968503937007874,1.5,0.044024398812661,0.0752314270198569,0.0414531012457839,0.1359298179282327,0.2880904924367379,0.1404670315390242,0.927808169822214,410011.2340993892,5.0,23.0,69.0,0.1089324618736383,0.5866141732283464,2,2.83
11,Baylor,11.291666666666666,1.4313540013304185,46.36363636363636,0.1338582677165354,0.8858267716535433,2.5,0.0318116480597896,0.0825476364107285,-0.0138127364132356,0.1131737820305877,0.1937602507378691,-0.0592736066640509,0.6976120590433621,65294.49016324143,4.0,3.0,5.0,0.00789365665751,0.1318897637795275,4,3.5
12,Bee,187.16666666666663,23.725616878141103,-25.62111801242236,0.6732283464566929,0.1889763779527559,3.0,0.0524015853727575,0.0451878055508851,0.1038385978565805,0.0306578148837946,0.095843629910364,-0.0218702984928321,0.4101220479004411,132148.99954056766,2.0,20.0,39.0,0.0615705219285782,0.4645669291338583,3,2.67
13,Bell,2220.9166666666665,281.52778959008845,0.6248118036735972,0.9291338582677166,0.5393700787401575,1.5,0.0430566832278758,0.0885963740466071,0.0646958569167859,0.1243352337342324,0.2140866828394965,0.1279012768343134,0.8842368678616164,254551.5074921299,5.0,257.0,771.0,1.2172018565880458,0.9429133858267716,1,2.5
14,Bexar,18860.95833333333,2390.852384886462,47.687080041147766,0.9960629921259844,0.8937007874015748,1.0,0.0457613882024871,0.0700602910305734,0.0449494401172656,0.0973503273217905,0.121467366253675,0.097216594953042,0.6004410092559272,300331.3899586621,3.0,1080.0,4317.0,6.815383158094155,0.9921259842519684,1,1.67
15,Blanco,64.29166666666667,8.149738834143305,20.114122681883018,0.4251968503937008,0.7559055118110236,2.0,0.0612824302782734,0.0754036121154254,0.0719701678921618,0.1508933733183898,0.3389189828413245,0.1286595585132501,1.1771201822525177,611071.863142877,5.0,11.0,32.0,0.0505194026080641,0.4015748031496063,3,3.33
16,Borden,2.4166666666666665,0.3063414467792039,141.17647058823528,0.0255905511811023,0.9881889763779528,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.001578731331502,0.0413385826771653,5,2.67
17,Bosque,87.04166666666667,11.033573833133744,14.036885245901631,0.5039370078740157,0.7047244094488189,1.5,0.0625048677945077,0.0907385479993372,0.0734595803211073,0.1364875670012653,0.2580414412748792,0.1026284208035499,1.1130343390929678,191232.85306860792,5.0,15.0,45.0,0.0710429099175902,0.4901574803149606,3,3.17
18,Bowie,375.0,47.53574174160061,5.011389521640086,0.7952755905511811,0.6338582677165354,1.5,0.0282702200988998,0.0378769870532159,0.0562750164982283,0.0892400768626907,0.1646164515979654,0.0513638826851213,0.5479173950672288,149951.27536524707,3.0,156.0,621.0,0.9803921568627452,0.905511811023622,1,1.83
19,Brazoria,3176.5,402.6594230458516,9.600791817881891,0.9488188976377953,0.6732283464566929,1.5,0.0316712152459887,0.0422852516420979,0.0428031434664303,0.0542027186955507,0.1398594841002569,0.0567103018094523,0.4338440736491207,267369.010785898,2.0,285.0,855.0,1.3498152884342145,0.9488188976377953,1,1.5
20,Brazos,2253.958333333333,285.7162166124317,4.610787502836833,0.9330708661417324,0.6181102362204725,1.5,0.0245440560557674,0.0399690653728685,0.0030094927605087,0.0632358163398915,0.1016365256346782,0.0875739355405722,0.3989898302407444,271750.1973750369,2.0,203.0,609.0,0.961447380884721,0.9015748031496064,1,1.5
21,Brewster,21.416666666666668,2.714819028353635,51.96078431372548,0.2244094488188976,0.905511811023622,2.5,0.0310648630447736,0.0447945763345532,0.0433061470534569,0.0780090458779633,0.1585594298987702,0.0878513182052933,0.5300371218032808,231669.2153465801,3.0,3.0,7.0,0.011051119320514,0.1791338582677165,4,3.17
22,Briscoe,13.958333333333334,1.769385942604023,72.35772357723577,0.1614173228346456,0.9606299212598424,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137795275590551,5,2.5
23,Brooks,33.166666666666664,4.204272269590454,20.49861495844876,0.3070866141732283,0.7677165354330708,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.01578731331502,0.2303149606299212,4,2.0
24,Brown,216.58333333333331,27.45453173031556,9.259259259259256,0.7165354330708661,0.6653543307086615,1.5,0.0445475880130999,0.0763464695441169,0.0552501506076714,0.1128283261108613,0.1917649390082432,0.0172586669573963,0.6180212575315596,194956.46407941,3.0,73.0,219.0,0.3457421615989391,0.7834645669291339,1,1.83
25,Burleson,127.83333333333331,16.204406184803407,4.6697798532354895,0.5748031496062992,0.6259842519685039,2.0,0.0954017182731961,0.0826715830215769,0.0562019583071018,0.0825208773577699,0.2359325901341895,-0.0817505941806349,0.6729859318979303,194048.4904712371,4.0,25.0,73.0,0.1152473871996463,0.610236220472441,2,2.67
26,Burnet,334.9583333333333,42.45998087341415,-9.18585331117968,0.7795275590551181,0.4015748031496063,2.0,0.0416315724369479,0.0654125650664328,0.1264358181960241,0.1463515021835027,0.2951780345024588,0.1166315720161172,1.0793904068251934,422992.7604322484,5.0,40.0,119.0,0.1878690284487386,0.7145669291338582,1,2.67
27,Caldwell,477.0833333333333,60.47602699348078,45.81365392872478,0.8188976377952756,0.8740157480314961,1.0,0.0641436317449659,0.064011652856546,0.0637909743026452,0.1157872014497608,0.2423246802298706,0.1306978724606615,0.881618097280501,307001.9028490612,5.0,25.0,75.0,0.1184048498626503,0.6181102362204725,2,2.67
28,Calhoun,133.70833333333334,16.949132805421822,-1.1771995043370451,0.594488188976378,0.4921259842519685,2.5,0.0107896897381808,0.0630883846399746,0.0683874727006011,0.0700891430956133,0.1353571803158089,0.0793156081829352,0.5190406438053706,224618.57530636695,2.0,18.0,53.0,0.0836727605696062,0.5275590551181102,2,2.17
29,Callahan,51.0,6.464860876857684,15.492957746478876,0.374015748031496,0.7204724409448819,2.0,0.0290585691142788,0.1064699811291334,0.0479652032625079,0.0790036081998191,0.1768219897448575,-0.0603096171819373,0.5976638919290208,120192.18691593112,3.0,8.0,22.0,0.0347320892930441,0.328740157480315,3,2.67
30,Cameron,2512.0416666666665,318.43137042881773,52.39251475698079,0.9409448818897638,0.9094488188976378,1.0,0.0085799966663306,0.005028782729205,0.0068444435823246,0.1292710820444507,0.1821699940759299,0.0896780644953748,0.5747564744935681,152879.46080105155,3.0,200.0,598.0,0.944081336238199,0.8976377952755905,1,1.67
31,Camp,56.75,7.193742250228893,-18.64181091877497,0.4015748031496063,0.2637795275590551,3.5,0.0690404577691883,0.1139059057268917,0.0150697160377051,0.0851694393841209,0.3184619405718448,0.0293532623503071,0.8560570069886873,201528.45264907507,5.0,8.0,23.0,0.0363108206245461,0.3444881889763779,3,3.83
32,Carson,24.25,3.07397796595684,18.796992481203013,0.2519685039370078,0.7480314960629921,2.5,0.0194623033634873,0.0774145024510082,0.0062008770551888,0.0677116242406383,0.1713177127590413,0.0578065144931192,0.4890963213825769,166620.39830202272,2.0,5.0,13.0,0.020523507309526,0.265748031496063,4,2.83
33,Cass,181.41666666666663,22.99673550476989,14.906219151036517,0.6614173228346457,0.7086614173228346,1.5,0.0406247608072235,0.0046592967779622,0.0747306859511928,0.0901333670536241,0.2982842135552062,-0.0311956720334792,0.5964478780309198,130284.78071586484,3.0,27.0,79.0,0.1247197751886584,0.6240157480314961,2,2.17
34,Castro,56.66666666666666,7.183178752064093,75.30364372469636,0.3976377952755905,0.9645669291338582,2.0,0.0289255750028617,0.0291322311355719,0.0292944669574377,-0.0960552326264009,0.1924462458072533,0.004706784503075,0.2088710865624224,126212.947380007,1.0,8.0,24.0,0.0378895519560481,0.3622047244094488,3,2.0
35,Chambers,349.0833333333333,44.25049381234777,-18.027801911381403,0.7874015748031497,0.2795275590551181,2.5,0.0273228238812653,0.0388259133983255,0.0553677075558045,0.0759160459101769,0.1035099792518986,0.0394491281547542,0.4415079634544194,262650.3176487782,2.0,38.0,114.0,0.1799753717912285,0.7007874015748031,1,1.83
36,Cherokee,135.04166666666666,17.11814877605862,0.1852995676343338,0.5984251968503937,0.5196850393700787,2.0,-0.0015877385462877,0.0380077760185994,0.1007666550739363,0.1487550259481815,0.1884903351438552,0.0733937680465682,0.6869046998717466,200092.95903299015,4.0,46.0,138.0,0.2178649237472767,0.75,1,2.33
37,Childress,65.75,8.334600052027309,7.086614173228356,0.4291338582677165,0.6614173228346457,2.5,-0.0379812037964538,0.0895187188412561,0.0874455106656606,0.12226470316428,0.1402100043853865,0.0304208488034529,0.6498604842685779,74800.2522886833,4.0,13.0,26.0,0.0410470146190521,0.3700787401574803,3,3.17
38,Clay,55.54166666666666,7.04057152683929,-17.397260273972602,0.389763779527559,0.3070866141732283,3.0,0.0014829836225095,0.132252584185902,0.0543439539163095,0.07570682758617,0.1804541032213263,0.079452440667381,0.7437778709134549,134665.72197030068,4.0,2.0,6.0,0.009472387989012,0.1535433070866141,4,3.67
39,Cochran,18.666666666666668,2.3662235889152305,10.328638497652577,0.2007874015748031,0.6771653543307087,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.006314925326008,0.108267716535433,4,2.33
40,Coke,11.083333333333334,1.404945255918418,11.111111111111116,0.1299212598425196,0.6850393700787402,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.006314925326008,0.108267716535433,4,2.33
41,Coleman,36.375,4.61096694893526,2.552204176334105,0.3149606299212598,0.5748031496062992,2.5,0.0097579308473608,0.0741529315618418,-0.0085979414177246,0.128799104260041,0.1400287400125029,-0.0347242197403215,0.4553931444861482,62311.15461840528,2.0,18.0,54.0,0.0852514919011082,0.5393700787401575,2,2.17
42,Collin,6391.541666666667,810.2044639929233,22.92835343700044,0.9724409448818898,0.7952755905511811,1.0,0.0285606699047181,0.0198881835705477,0.0042917007375952,0.0685267484345839,0.1843491545598326,0.0931165359877676,0.4474852122804146,515859.2635220999,2.0,357.0,1070.0,1.6892425247071452,0.9645669291338582,1,1.33
