COUNTY,AVG_OFFENCE_COUNT,Offense Count,OFFENSE_PCT,SAFTEY_LINDEX
Fisher,4.0,4.0,0.00631492532600802,5
Floyd,4.0,8.0,0.01262985065201604,4
Foard,3.0,3.0,0.004736193994506015,5
Fort Bend,134.0,400.0,0.631492532600802,2
Franklin,12.0,35.0,0.05525559660257017,3
Freestone,15.0,44.0,0.06946417858608822,3
Frio,13.0,37.0,0.058413059265574184,3
Gaines,19.0,56.0,0.08840895456411228,3
Galveston,319.0,956.0,1.5092671529159167,1
Garza,12.0,23.0,0.03631082062454612,4
Gillespie,28.0,83.0,0.13103470051466642,2
Glasscock,1.0,1.0,0.001578731331502005,5
Goliad,5.0,9.0,0.014208581983518044,4
Gonzales,24.0,71.0,0.11208992453664236,2
Gray,38.0,113.0,0.17839664045972659,2
Grayson,159.0,633.0,0.9993369328407692,1
Gregg,220.0,659.0,1.0403839474598213,1
Grimes,18.0,53.0,0.08367276056960626,3
Guadalupe,75.0,223.0,0.35205708692494714,2
Hale,37.0,110.0,0.17366044646522055,2
Hall,8.0,15.0,0.023680969972530073,4
Hamilton,10.0,20.0,0.0315746266300401,4
Hansford,3.0,7.0,0.011051119320514035,4
Hardeman,9.0,27.0,0.042625745950554135,4
Hardin,38.0,112.0,0.17681790912822457,2
Harris,2037.0,8146.0,12.860345426415332,1
Harrison,58.0,230.0,0.36310820624546114,2
Hartley,5.0,10.0,0.01578731331502005,4
Haskell,11.0,31.0,0.04894067127656215,4
Hays,140.0,418.0,0.659909696567838,2
Hemphill,4.0,10.0,0.01578731331502005,4
Henderson,92.0,274.0,0.43257238483154936,2
Hidalgo,509.0,2033.0,3.2095607969435758,1
Hill,68.0,269.0,0.42467872817403934,2
Hockley,25.0,74.0,0.11682611853114837,2
Hood,64.0,191.0,0.30153768431688294,2
Hopkins,76.0,227.0,0.35837201225095516,2
Houston,27.0,79.0,0.1247197751886584,2
Howard,38.0,113.0,0.17839664045972659,2
Hudspeth,4.0,7.0,0.011051119320514035,4
Hunt,99.0,295.0,0.4657257427930914,2
Hutchinson,22.0,66.0,0.10419626787913233,2
Irion,1.0,3.0,0.004736193994506015,5
Jack,6.0,21.0,0.033153357961542104,4
Jackson,17.0,51.0,0.08051529790660225,3
