CountyName,2023-03-31
Wheeler County,81022.6197448612
Wichita County,149125.3318068031
Wilbarger County,73936.70567921853
Willacy County,98089.44192194298
Williamson County,436612.3137233659
Wilson County,325533.452012193
Winkler County,90232.66001959828
Wise County,339495.5940660307
Wood County,257118.3835558278
Yoakum County,130754.60100365247
Young County,140322.76090010023
Zapata County,96680.30190532032
Zavala County,78032.43326718254
