,CountyName,2017 % Change,2018 % Change,2019 % Change,2020 % Change,2021 % Change,2022 % Change,Total Change,2023-03-31,Score
0,Anderson,0.015320515332352978,0.02663481694928498,0.07233404254814403,0.1011932809649831,0.17589039133796777,0.11269962962444859,0.6218552962768005,175981.44198949204,3
1,Andrews,-0.0018023589136667985,0.05363011200001649,0.12324329062774246,0.061747457512526985,0.066291860730861,-0.0244408427629672,0.32105081774768696,198874.46706246943,1
2,Angelina,0.012615858578903722,0.021743031514616717,0.13528681768102938,0.08569820248391206,0.1582198084652889,0.0006452021311491954,0.5050889456469224,161055.55123288717,2
3,Aransas,0.03245895958894258,0.03449460360870409,0.06523785376036581,0.10967178179727027,0.17812376981980532,0.09145385115942006,0.6089196099407759,286760.47938561725,3
4,Archer,-0.0017257401056160273,0.09454875218357782,0.04847148220822744,0.11401121289193542,0.11266547374172499,0.08277844983386426,0.5696197883944023,144530.0510529762,3
5,Armstrong,0.015648919336034052,0.04507351271022462,0.06276683833470423,0.04024905313840991,0.2224126563986127,-0.01976735009871848,0.49731519572886995,159438.8270770352,2
6,Atascosa,0.06905737645094912,0.021305143221735184,0.08090811934159096,0.10120425704017652,0.15781192159808383,0.02666104594745428,0.5846673647486071,240943.00928011612,3
7,Austin,0.03023660940087106,0.05155721917583883,0.04009350228326671,0.0879918630821976,0.20564240950851762,0.05673574948896809,0.587917013635793,359672.8935819301,3
8,Bailey,0.0008150259974407432,0.03823958159605904,0.03933379541828265,0.10994296491377437,0.14201690842256537,0.0019567702138999143,0.4415664393465433,92408.11669229368,2
9,Bandera,0.022928122787341784,0.15573968491230558,0.019730124514718072,0.12539783272183935,0.21865872662887118,0.11439571789637137,0.8771632342962791,374074.6235741446,5
10,Bastrop,0.044024398812661056,0.07523142701985694,0.04145310124578395,0.13592981792823278,0.28809049243673795,0.1404670315390242,0.9278081698222141,410011.2340993892,5
11,Baylor,0.03181164805978965,0.08254763641072853,-0.01381273641323562,0.11317378203058778,0.19376025073786918,-0.0592736066640509,0.6976120590433621,65294.49016324143,4
12,Bee,0.05240158537275759,0.04518780555088511,0.10383859785658052,0.030657814883794696,0.09584362991036408,-0.02187029849283215,0.41012204790044116,132148.99954056766,2
13,Bell,0.04305668322787588,0.0885963740466071,0.06469585691678595,0.1243352337342324,0.21408668283949653,0.1279012768343134,0.8842368678616164,254551.5074921299,5
14,Bexar,0.04576138820248713,0.07006029103057343,0.044949440117265656,0.09735032732179054,0.12146736625367503,0.09721659495304204,0.6004410092559272,300331.3899586621,3
